# Atomic number Z= 29  Date:04-11-2021

# Record	Shelli	  2Ji		  Eigi --->		Shellf	  2Jf			Eigf		   Energy (eV)			 Rate(1/s)			 Width(eV)
	 199	   K1	    2	         1 ---> 	 L2M3	    1	         5	           7922.23	        3.6919e-06	           1.52289
	 200	   K1	    2	         1 ---> 	 L2M3	    3	         6	            7922.6	       8.37253e-05	           1.52289
	 201	   K1	    2	         1 ---> 	 L2M2	    3	         4	           7923.08	       1.13898e-05	           1.52289
	 202	   K1	    2	         1 ---> 	 L2M2	    3	         5	           7923.09	       8.77157e-05	           1.52289
	 203	   K1	    2	         1 ---> 	 L2M2	    1	         4	           7923.26	       7.28824e-06	           1.52289
	 204	   K1	    2	         1 ---> 	 L3M2	    5	         3	            7939.5	         0.0120928	           1.52289
	 205	   K1	    2	         1 ---> 	 L3M2	    1	         2	            7939.9	        6.1638e-06	           1.52289
	 206	   K1	    2	         1 ---> 	 L3M2	    3	         3	           7940.14	        8.3616e-05	           1.52289
	 207	   K1	    2	         1 ---> 	 L3M2	    3	         2	           7940.64	        0.00032079	           1.52289
	 208	   K1	    2	         1 ---> 	 L3M2	    5	         2	           7940.84	       0.000478161	           1.52289
	 209	   K1	    2	         1 ---> 	 L3M3	    1	         3	            7943.3	        0.00211076	           1.52289
	 210	   K1	    2	         1 ---> 	 L3M3	    5	         1	           7945.46	       8.94609e-06	           1.52289
	 211	   K1	    2	         1 ---> 	 L3M3	    7	         1	           7945.86	       4.32691e-05	           1.52289
	 212	   K1	    2	         1 ---> 	 L3M3	    1	         1	            7945.9	        1.8568e-06	           1.52289
	 213	   K1	    2	         1 ---> 	 L3M3	    3	         1	           7945.96	       6.94191e-06	           1.52289
	 214	   K1	    2	         1 ---> 	 L2M4	    3	         7	           7999.17	       8.91898e-06	           1.52289
	 215	   K1	    2	         1 ---> 	 L2M4	    1	         4	           7999.37	       1.56885e-06	           1.52289
	 216	   K1	    2	         1 ---> 	 L2M5	    5	         7	           8000.03	       0.000663555	           1.52289
	 217	   K1	    2	         1 ---> 	 L2M5	    7	         4	            8000.3	       0.000578383	           1.52289
	 218	   K1	    2	         1 ---> 	 L2M5	    3	         6	           8000.76	       4.31758e-06	           1.52289
	 219	   K1	    2	         1 ---> 	 L2M5	    5	         6	           8001.06	       1.68632e-05	           1.52289
	 220	   K1	    2	         1 ---> 	 L2M4	    5	         5	           8002.26	       0.000114926	           1.52289
	 221	   K1	    2	         1 ---> 	 L2M4	    3	         5	           8002.47	       0.000142628	           1.52289
	 222	   K1	    2	         1 ---> 	 L2N1	    1	         1	           8010.66	       2.77264e-05	           1.52289
	 223	   K1	    2	         1 ---> 	 L3M5	    1	         3	           8020.49	       6.15262e-06	           1.52289
	 224	   K1	    2	         1 ---> 	 L3M5	    3	         4	           8020.62	         7.496e-06	           1.52289
	 225	   K1	    2	         1 ---> 	 L3M5	    5	         4	           8020.93	       0.000460753	           1.52289
	 226	   K1	    2	         1 ---> 	 L3M4	    7	         3	           8020.93	       0.000913458	           1.52289
	 227	   K1	    2	         1 ---> 	 L3M4	    1	         2	           8021.72	       3.73316e-06	           1.52289
	 228	   K1	    2	         1 ---> 	 L3M4	    3	         3	           8022.07	        9.3517e-06	           1.52289
	 229	   K1	    2	         1 ---> 	 L3M4	    1	         1	           8022.18	       4.87304e-06	           1.52289
	 230	   K1	    2	         1 ---> 	 L3M4	    3	         2	           8022.65	       1.45145e-05	           1.52289
	 231	   K1	    2	         1 ---> 	 L3M4	    5	         3	           8022.78	       1.20067e-05	           1.52289
	 232	   K1	    2	         1 ---> 	 L3M4	    5	         2	           8023.53	        6.8553e-05	           1.52289
	 233	   K1	    2	         1 ---> 	 L3M5	    7	         2	           8023.75	       0.000117997	           1.52289
	 234	   K1	    2	         1 ---> 	 L3M5	    7	         1	           8024.61	       0.000161454	           1.52289
	 235	   K1	    2	         1 ---> 	 L3M5	    5	         1	           8024.66	       4.04332e-05	           1.52289
	 236	   K1	    2	         1 ---> 	 L3M5	    3	         1	            8024.7	       3.62589e-05	           1.52289
	 237	   K1	    2	         1 ---> 	 L3M5	    9	         1	           8024.96	       0.000430345	           1.52289
	 238	   K1	    2	         1 ---> 	 L3N1	    3	         1	           8032.73	       6.80478e-05	           1.52289
	 239	   K1	    2	         1 ---> 	 M1M1	    1	         1	           8700.97	       0.000499626	           1.52289
	 240	   K1	    2	         1 ---> 	 M1M3	    3	         3	           8741.73	       0.000606931	           1.52289
	 241	   K1	    2	         1 ---> 	 M1M3	    1	         3	           8741.89	       0.000291692	           1.52289
	 242	   K1	    2	         1 ---> 	 M1M2	    1	         2	           8755.42	        4.2716e-05	           1.52289
	 243	   K1	    2	         1 ---> 	 M1M2	    1	         1	           8756.32	        4.9979e-05	           1.52289
	 244	   K1	    2	         1 ---> 	 M1M2	    3	         2	            8756.5	       7.81394e-05	           1.52289
	 245	   K1	    2	         1 ---> 	 M1M3	    3	         1	            8757.8	       4.04411e-05	           1.52289
	 246	   K1	    2	         1 ---> 	 M1M3	    5	         1	           8758.24	       0.000121814	           1.52289
	 247	   K1	    2	         1 ---> 	 M2M2	    1	         3	           8790.42	        0.00021151	           1.52289
	 248	   K1	    2	         1 ---> 	 M2M3	    3	         3	            8796.8	        0.00084764	           1.52289
	 249	   K1	    2	         1 ---> 	 M2M3	    5	         2	           8796.84	        0.00128925	           1.52289
	 250	   K1	    2	         1 ---> 	 M2M3	    1	         2	           8799.71	       7.82815e-06	           1.52289
	 251	   K1	    2	         1 ---> 	 M2M3	    3	         2	           8800.36	       5.93199e-06	           1.52289
	 252	   K1	    2	         1 ---> 	 M2M3	    1	         1	           8800.42	       6.16432e-06	           1.52289
	 253	   K1	    2	         1 ---> 	 M3M3	    3	         1	              8802	       5.45881e-05	           1.52289
	 254	   K1	    2	         1 ---> 	 M3M3	    5	         1	           8802.58	       6.14584e-05	           1.52289
	 255	   K1	    2	         1 ---> 	 M1M5	    5	         3	              8825	       1.05481e-06	           1.52289
	 256	   K1	    2	         1 ---> 	 M1M5	    3	         3	           8825.01	       6.13362e-07	           1.52289
	 257	   K1	    2	         1 ---> 	 M1M4	    3	         2	           8830.01	       2.49286e-06	           1.52289
	 258	   K1	    2	         1 ---> 	 M1M5	    5	         2	            8830.2	       3.29165e-06	           1.52289
	 259	   K1	    2	         1 ---> 	 M1M4	    1	         1	           8830.57	       4.97693e-06	           1.52289
	 260	   K1	    2	         1 ---> 	 M1M4	    3	         1	           8830.63	       9.47822e-06	           1.52289
	 261	   K1	    2	         1 ---> 	 M1M5	    5	         1	           8830.72	       1.34119e-05	           1.52289
	 262	   K1	    2	         1 ---> 	 M1M5	    7	         1	           8830.85	        1.7151e-05	           1.52289
	 263	   K1	    2	         1 ---> 	 M1N1	    1	         1	           8837.51	       2.89958e-05	           1.52289
	 264	   K1	    2	         1 ---> 	 M2M5	    5	         7	           8867.43	       9.14449e-05	           1.52289
	 265	   K1	    2	         1 ---> 	 M2M5	    7	         4	           8867.44	       0.000116828	           1.52289
	 266	   K1	    2	         1 ---> 	 M2M4	    3	         7	           8868.53	       7.49738e-07	           1.52289
