# Atomic	number	Z=	34	Date:31-10-2019							
											
# Record	Shelli	2Ji	Eigi	--->	Shellf	2Jf	Eigf	Energy(eV)	Rate(1/s)	Width(eV)	Peso
205	K	1	3	--->	K	3	3	2.348220E+00	3.536280E+00	2.327622E-15	6.666667E-02
206	K	1	3	--->	K	5	1	4.309050E+00	4.808510E-01	3.165019E-16	6.666667E-02
207	K	1	3	--->	K	5	2	2.391280E+00	5.825480E+00	3.834400E-15	6.666667E-02
208	K	1	3	--->	L1	1	1	1.100052E+04	2.720370E+05	1.790580E-10	6.666667E-02
209	K	1	3	--->	L1	1	2	1.100028E+04	4.506590E+03	2.966291E-12	6.666667E-02
210	K	1	3	--->	L1	1	3	1.099670E+04	1.355350E+09	8.921076E-07	6.666667E-02
211	K	1	3	--->	L1	3	1	1.100075E+04	1.461990E+08	9.622993E-08	6.666667E-02
212	K	1	3	--->	L1	3	2	1.100049E+04	3.845840E+07	2.531378E-08	6.666667E-02
213	K	1	3	--->	L1	3	3	1.099905E+04	5.746450E+10	3.782382E-05	6.666667E-02
214	K	1	3	--->	L1	5	1	1.100092E+04	1.920670E+08	1.264208E-07	6.666667E-02
215	K	1	3	--->	L1	5	2	1.099906E+04	8.613160E+10	5.669285E-05	6.666667E-02
216	K	1	3	--->	L3	1	1	1.122569E+04	1.777050E+08	1.169676E-07	6.666667E-02
217	K	1	3	--->	L3	1	2	1.122484E+04	5.280940E+10	3.475978E-05	6.666667E-02
218	K	1	3	--->	L3	1	3	1.122319E+04	7.422140E+06	4.885341E-09	6.666667E-02
219	K	1	3	--->	L2	1	4	1.118425E+04	2.159710E+09	1.421547E-06	6.666667E-02
220	K	1	3	--->	L2	1	5	1.118396E+04	1.376320E+12	9.059103E-04	6.666667E-02
221	K	1	3	--->	L2	1	6	1.118025E+04	6.010750E+14	3.956347E-01	6.666667E-02
222	K	1	3	--->	L3	3	1	1.122501E+04	1.706270E+12	1.123087E-03	6.666667E-02
223	K	1	3	--->	L3	3	2	1.122488E+04	1.556110E+12	1.024250E-03	6.666667E-02
224	K	1	3	--->	L3	3	3	1.122485E+04	1.567000E+11	1.031418E-04	6.666667E-02
225	K	1	3	--->	L3	3	4	1.122346E+04	1.015030E+12	6.681049E-04	6.666667E-02
226	K	1	3	--->	L3	3	5	1.122122E+04	1.163670E+15	7.659415E-01	6.666667E-02
227	K	1	3	--->	L2	3	6	1.118434E+04	4.619830E+08	3.040827E-07	6.666667E-02
228	K	1	3	--->	L2	3	7	1.118394E+04	8.285780E+10	5.453799E-05	6.666667E-02
229	K	1	3	--->	L2	3	8	1.118234E+04	1.495490E+09	9.843494E-07	6.666667E-02
230	K	1	3	--->	L3	5	1	1.122545E+04	6.462560E+04	4.253734E-11	6.666667E-02
231	K	1	3	--->	L3	5	2	1.122518E+04	2.615600E+06	1.721619E-09	6.666667E-02
232	K	1	3	--->	L3	5	3	1.122352E+04	3.119380E+04	2.053213E-11	6.666667E-02
233	K	1	3	--->	L2	5	4	1.118432E+04	5.660370E+01	3.725723E-14	6.666667E-02
234	K	1	3	--->	L2	5	5	1.118269E+04	7.990540E+00	5.259469E-15	6.666667E-02
235	K	1	3	--->	L3	7	1	0.000000E+00	0.000000E+00	0.000000E+00	6.666667E-02
236	K	1	3	--->	L3	7	2	0.000000E+00	0.000000E+00	0.000000E+00	6.666667E-02
237	K	1	3	--->	M1	1	1	1.242634E+04	1.351600E+05	8.896393E-11	6.666667E-02
238	K	1	3	--->	M1	1	2	1.242558E+04	3.793670E+04	2.497039E-11	6.666667E-02
239	K	1	3	--->	M1	1	3	1.242239E+04	4.446090E+08	2.926470E-07	6.666667E-02
240	K	1	3	--->	M1	3	1	1.242649E+04	9.154350E+05	6.025502E-10	6.666667E-02
241	K	1	3	--->	M1	3	2	1.242589E+04	1.311500E+07	8.632450E-09	6.666667E-02
242	K	1	3	--->	M1	3	3	1.242471E+04	1.921260E+09	1.264596E-06	6.666667E-02
243	K	1	3	--->	M1	5	1	1.242676E+04	2.514100E+06	1.654811E-09	6.666667E-02
244	K	1	3	--->	M1	5	2	1.242473E+04	2.881570E+09	1.896684E-06	6.666667E-02
245	K	1	3	--->	M3	1	1	1.249695E+04	1.932170E+09	1.271777E-06	6.666667E-02
246	K	1	3	--->	M3	1	2	1.249528E+04	3.539830E+11	2.329958E-04	6.666667E-02
247	K	1	3	--->	M3	1	3	1.249312E+04	2.208580E+11	1.453714E-04	6.666667E-02
248	K	1	3	--->	M2	1	4	1.249024E+04	2.864470E+08	1.885428E-07	6.666667E-02
249	K	1	3	--->	M2	1	5	1.248949E+04	6.828800E+11	4.494798E-04	6.666667E-02
250	K	1	3	--->	M2	1	6	1.248598E+04	8.650960E+13	5.694165E-02	6.666667E-02
251	K	1	3	--->	M3	3	1	1.249564E+04	2.583200E+11	1.700293E-04	6.666667E-02
252	K	1	3	--->	M3	3	2	1.249553E+04	2.877740E+11	1.894163E-04	6.666667E-02
253	K	1	3	--->	M3	3	3	1.249529E+04	3.191630E+12	2.100769E-03	6.666667E-02
254	K	1	3	--->	M3	3	4	1.249368E+04	1.083110E+12	7.129159E-04	6.666667E-02
255	K	1	3	--->	M3	3	5	1.249188E+04	1.564650E+14	1.029871E-01	6.666667E-02
256	K	1	3	--->	M2	3	6	1.249013E+04	5.359030E+11	3.527378E-04	6.666667E-02
257	K	1	3	--->	M2	3	7	1.248944E+04	8.113210E+12	5.340212E-03	6.666667E-02
258	K	1	3	--->	M2	3	8	1.248741E+04	2.105130E+09	1.385622E-06	6.666667E-02
259	K	1	3	--->	M3	5	1	1.249617E+04	4.951850E+04	3.259367E-11	6.666667E-02
260	K	1	3	--->	M3	5	2	1.249600E+04	4.159370E+05	2.737747E-10	6.666667E-02
261	K	1	3	--->	M3	5	3	1.249420E+04	1.322340E+04	8.703800E-12	6.666667E-02
262	K	1	3	--->	M2	5	4	1.248988E+04	3.068850E+03	2.019954E-12	6.666667E-02
263	K	1	3	--->	M2	5	5	1.248852E+04	4.131130E+02	2.719159E-13	6.666667E-02
264	K	1	3	--->	M3	7	1	0.000000E+00	0.000000E+00	0.000000E+00	6.666667E-02
265	K	1	3	--->	M3	7	2	0.000000E+00	0.000000E+00	0.000000E+00	6.666667E-02
266	K	1	3	--->	M5	1	1	1.260688E+04	2.840880E-01	1.869901E-16	6.666667E-02
267	K	1	3	--->	M4	1	2	1.260596E+04	1.552940E+00	1.022164E-15	6.666667E-02
268	K	1	3	--->	M4	1	3	1.260513E+04	1.953670E+01	1.285929E-14	6.666667E-02
269	K	1	3	--->	M5	1	4	1.260375E+04	4.969840E-02	3.271208E-17	6.666667E-02
270	K	1	3	--->	M4	1	5	1.260290E+04	1.151520E-02	7.579442E-18	6.666667E-02
271	K	1	3	--->	M5	3	1	1.260671E+04	4.086290E+06	2.689645E-09	6.666667E-02
272	K	1	3	--->	M4	3	2	1.260588E+04	2.148100E+07	1.413905E-08	6.666667E-02
