#	Atomic	number	Z=	34	Date:31-10-2019											
																
#	Number	Shelli	2Ji	Eigi	--->	Shellf	2Jf	Eigf	Energy(eV)	BranchingRatio	LevelRadYield	Intensity(eV)	Weight(%)	RadWidth(eV)	AugWidth(eV)	TotWidth(eV)
	103	K1K1	0	2	--->	K1M3	2	6	12954.96	1.9496E-05	0.5980881	0.01007062	6.7	4.276347	2.873682	7.150029
	104	K1K1	0	2	--->	K1M3	2	7	12954.17	0.000119958	0.5980881	0.06196022	6.7	4.077799	2.740259	6.818058
	105	K1K1	0	2	--->	K1M3	2	8	12952.25	0.04550654	0.5980881	23.50135	6.7	4.04126	2.715704	6.756964
	106	K1K1	0	2	--->	K1M4	2	3	13073.74	1.77793E-15	0.5980881	9.26805E-13	6.7	4.172378	2.803815	6.976193
	107	K1K1	0	2	--->	K1M4	2	5	13073.27	9.75893E-14	0.5980881	5.08698E-11	6.7	4.097981	2.753821	6.851802
	108	K1K1	0	2	--->	K1M4	2	6	13072.89	1.7501E-12	0.5980881	9.1224E-10	6.7	3.9861	2.678637	6.664737
	109	K1K1	0	2	--->	K1M4	2	7	13072.56	5.09803E-12	0.5980881	2.65728E-09	6.7	3.805576	2.557326	6.362902
	110	K1K1	0	2	--->	K1M4	2	8	13072.18	5.59155E-11	0.5980881	2.91443E-08	6.7	3.863169	2.596029	6.459198
	111	K1K1	0	2	--->	K1M4	2	11	13070.78	4.00831E-11	0.5980881	2.08899E-08	6.7	3.635855	2.443275	6.07913
	112	K1K1	0	2	--->	K1M4	2	12	13070.04	1.19766E-13	0.5980881	6.24143E-11	6.7	3.843163	2.582584	6.425747
	113	K1K1	0	2	--->	K1M4	2	13	13068.2	1.71574E-09	0.5980881	8.94006E-07	6.7	4.141655	2.78317	6.924825
	114	K1K1	0	2	--->	K1M5	2	1	13074.8	6.62217E-15	0.5980881	3.45231E-12	6.7	4.057031	2.726302	6.783333
	115	K1K1	0	2	--->	K1M5	2	2	13074.3	1.52081E-13	0.5980881	7.92807E-11	6.7	4.128121	2.774075	6.902195
	116	K1K1	0	2	--->	K1M5	2	4	13073.52	4.80732E-13	0.5980881	2.50593E-10	6.7	3.619673	2.432401	6.052074
	117	K1K1	0	2	--->	K1M5	2	9	13071.72	2.18811E-11	0.5980881	1.14045E-08	6.7	3.623071	2.434684	6.057755
	118	K1K1	0	2	--->	K1M5	2	10	13071.08	2.94784E-13	0.5980881	1.53635E-10	6.7	4.079669	2.741515	6.821184
	119	K1K1	0	2	--->	K1N1	2	1	13130.8	2.25495E-10	0.5980881	1.1806E-07	6.7	4.432766	2.978795	7.411561
	120	K1K1	0	2	--->	K1N1	2	2	13130.14	5.59654E-11	0.5980881	2.92997E-08	6.7	4.419208	2.969683	7.388891
	121	K1K1	0	2	--->	K1N1	2	3	13126.08	7.54132E-18	0.5980881	3.9469E-15	6.7	4.421483	2.971213	7.392696
	122	K1K1	0	2	--->	K1N1	2	4	13123.57	4.65587E-08	0.5980881	2.43628E-05	6.7	4.402868	2.958704	7.361572
	123	K1K1	0	2	--->	K1N1	2	5	13121.34	3.69001E-11	0.5980881	1.93054E-08	6.7	4.417906	2.968809	7.386715
	124	K1K1	0	2	--->	K1N1	2	6	13120.97	2.30596E-09	0.5980881	1.2064E-06	6.7	4.397883	2.955353	7.353237
	125	K1K1	0	2	--->	K1N2	2	1	13143.25	2.01312E-06	0.5980881	0.001054986	6.7	4.028864	2.707375	6.736239
	126	K1K1	0	2	--->	K1N2	2	2	13141.16	4.81541E-05	0.5980881	0.02523135	6.7	4.161569	2.796551	6.95812
	127	K1K1	0	2	--->	K1N2	2	3	13139.39	0.000293171	0.5980881	0.1535926	6.7	4.400639	2.957206	7.357845
	128	K1K1	0	2	--->	K1N2	2	4	13139.04	0.008403533	0.5980881	4.402501	6.7	4.410124	2.963579	7.373703
	129	K1K1	2	1	--->	K1K1	4	1	0.53852	3.88304E-16	0.5980881	2.50132E-17	20	6.105625	4.102947	10.20857
	130	K1K1	2	1	--->	K1L1	0	1	11397.15	1.95991E-07	0.5980881	0.000267195	20	4.450308	2.990582	7.44089
	131	K1K1	2	1	--->	K1L1	0	2	11357.21	1.97076E-11	0.5980881	2.67732E-08	20	4.625214	3.108118	7.733332
	132	K1K1	2	1	--->	K1L1	0	3	11353.04	5.11797E-13	0.5980881	6.95033E-10	20	4.633369	3.113599	7.746967
	133	K1K1	2	1	--->	K1L1	2	1	11397.66	2.18838E-07	0.5980881	0.000298355	20	4.57689	3.075645	7.652535
	134	K1K1	2	1	--->	K1L1	2	2	11397.45	6.64052E-08	0.5980881	9.05326E-05	20	4.341769	2.917645	7.259414
	135	K1K1	2	1	--->	K1L1	2	3	11396.97	3.06117E-07	0.5980881	0.000417323	20	4.446184	2.987811	7.433995
