#	Atomic	number	Z=	22	Date:24-03-2020											
																
#	Number	Shelli	2Ji	Eigi	--->	Shellf	2Jf	Eigf	Energy(eV)	BranchingRatio	LevelRadYield	Intensity(eV)	Weight(%)	RadWidth(eV)	AugWidth(eV)	TotWidth(eV)
	128	K	1	2	--->	L1	3	4	4.4004990E+03	2.5296690E-04	2.1474480E-01	1.2071851E-06	2.2000000E+00	1.9345600E-01	4.8700910E+00	5.0635470E+00
	129	K	1	2	--->	L1	5	1	4.4045830E+03	6.8502550E-06	2.1474480E-01	3.2690155E-08	2.2000000E+00	1.9353720E-01	4.7114930E+00	4.9050300E+00
	130	K	1	2	--->	L1	5	2	4.4025290E+03	2.7032790E-04	2.1474480E-01	1.2900333E-06	2.2000000E+00	1.9331570E-01	4.7833710E+00	4.9766870E+00
	131	K	1	2	--->	L1	5	3	4.4024530E+03	2.8127570E-04	2.1474480E-01	1.3422774E-06	2.2000000E+00	1.9331830E-01	4.6762300E+00	4.8695480E+00
	132	K	1	2	--->	L1	5	4	4.4021730E+03	7.4027770E-07	2.1474480E-01	3.5326826E-09	2.2000000E+00	1.9353980E-01	4.7640570E+00	4.9575970E+00
	133	K	1	2	--->	L1	7	1	4.4045580E+03	1.6002770E-08	2.1474480E-01	7.6366936E-11	2.2000000E+00	1.9353530E-01	4.6550960E+00	4.8486320E+00
	134	K	1	2	--->	L1	7	2	4.4024600E+03	1.1448250E-06	2.1474480E-01	5.4632274E-09	2.2000000E+00	1.9349390E-01	4.8004080E+00	4.9939020E+00
	135	K	1	2	--->	L1	7	3	4.4012600E+03	7.3716170E-11	2.1474480E-01	3.5178131E-13	2.2000000E+00	1.9352730E-01	4.8478170E+00	5.0413440E+00
	136	K	1	2	--->	L1	9	1	4.4045250E+03	6.3249590E-08	2.1474480E-01	3.0183391E-10	2.2000000E+00	1.9353350E-01	4.4646720E+00	4.6582060E+00
	137	K	1	2	--->	L1	9	2	4.4012680E+03	6.2213910E-11	2.1474480E-01	2.9689149E-13	2.2000000E+00	1.9351980E-01	4.5829020E+00	4.7764220E+00
	138	K	1	2	--->	L2	1	5	4.5040040E+03	4.2818880E-02	2.1474480E-01	2.0433628E-04	2.2000000E+00	1.9252900E-01	9.4354940E-01	1.1360780E+00
	139	K	1	2	--->	L2	1	6	4.5030170E+03	9.2667590E-02	2.1474480E-01	4.4221952E-04	2.2000000E+00	1.9319500E-01	9.5638190E-01	1.1495770E+00
	140	K	1	2	--->	L2	1	7	4.4992550E+03	3.8818450E-03	2.1474480E-01	1.8524580E-05	2.2000000E+00	1.9288810E-01	9.5735780E-01	1.1502460E+00
	141	K	1	2	--->	L2	3	8	4.5044270E+03	2.5992320E-02	2.1474480E-01	1.2403813E-04	2.2000000E+00	1.9283090E-01	9.3659020E-01	1.1294210E+00
	142	K	1	2	--->	L2	3	9	4.5038870E+03	7.1025390E-02	2.1474480E-01	3.3894079E-04	2.2000000E+00	1.9255370E-01	9.3939610E-01	1.1319500E+00
	143	K	1	2	--->	L2	3	10	4.5027130E+03	6.7589320E-02	2.1474480E-01	3.2254354E-04	2.2000000E+00	1.9388490E-01	9.6510220E-01	1.1589870E+00
	144	K	1	2	--->	L2	3	11	4.5020280E+03	8.7097220E-02	2.1474480E-01	4.1563735E-04	2.2000000E+00	1.9383770E-01	9.7025070E-01	1.1640880E+00
	145	K	1	2	--->	L2	5	8	4.5056170E+03	1.0003840E-09	2.1474480E-01	4.7739411E-12	2.2000000E+00	1.9309800E-01	9.6601420E-01	1.1591120E+00
	146	K	1	2	--->	L2	5	9	4.5048700E+03	1.6928830E-08	2.1474480E-01	8.0786194E-11	2.2000000E+00	1.9297990E-01	9.7180970E-01	1.1647900E+00
	147	K	1	2	--->	L2	5	10	4.5039500E+03	2.5374570E-10	2.1474480E-01	1.2109015E-12	2.2000000E+00	1.9262160E-01	9.4477650E-01	1.1373980E+00
	148	K	1	2	--->	L2	5	11	4.5030500E+03	3.1711330E-10	2.1474480E-01	1.5132985E-12	2.2000000E+00	1.9362510E-01	9.6395750E-01	1.1575830E+00
