9039.817001180638; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9040.117079889807; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9040.417158598977; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9040.717237308147; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9041.017316017316; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9041.317394726486; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9041.617473435655; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9041.917552144825; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9042.217630853995; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9042.517709563164; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9042.817788272334; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9043.117866981504; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9043.417945690673; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9043.718024399843; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9044.018103109012; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9044.318181818182; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9044.618260527352; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9044.918339236521; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9045.21841794569;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9045.51849665486;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9045.81857536403;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9046.1186540732;   Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9046.41873278237;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
