# Atomic number Z= 29  Date:24-11-2022

# Register Shelli	2Ji		Eigi	 ---> 	 Shellf		2Jf		Eigf	Energy(eV)			Rate(s-1)		Width(eV)
	156	   K1	    2	     1		 ---> 	 L1L2	    3	     3		6.8496491E+03     	1.3550992E+14  	0.5604239986315442
	157	   K1	    2	     1		 ---> 	 L1L2	    1	     2		6.8811424E+03     	1.2970874E+13  	0.053643224590686295
	158	   K1	    2	     1		 ---> 	 L1L3	    1	     1		6.8904685E+03     	1.5884645E+13  	0.06569361318892791
	159	   K1	    2	     1		 ---> 	 L1L3	    3	     2		6.8905551E+03     	2.3466497E+13  	0.0970496335811809
	160	   K1	    2	     1		 ---> 	 L1L3	    3	     1		6.9017778E+03     	7.9200169E+12  	0.032754558045104055
	161	   K1	    2	     1		 ---> 	 L1L3	    5	     1		6.9019859E+03     	3.0292731E+13  	0.12528066902031776
	162	   K1	    2	     1		 ---> 	 L2L2	    1	     3		6.9912295E+03     	3.8881372E+13  	0.1608004341565589
	163	   K1	    2	     1		 ---> 	 L2L3	    3	     3		7.0202995E+03     	2.0553797E+14  	0.8500367428304171
	164	   K1	    2	     1		 ---> 	 L2L3	    5	     2		7.0203316E+03     	3.0926897E+14  	1.279033688604193
	165	   K1	    2	     1		 ---> 	 L2L3	    1	     2		7.0307674E+03     	1.2153314E+11  	0.0005026206810914454
	166	   K1	    2	     1		 ---> 	 L2L3	    3	     2		7.0309034E+03     	2.2436505E+11  	0.0009278992893964247
	167	   K1	    2	     1		 ---> 	 L3L3	    1	     1		7.0355989E+03     	1.2477443E+13  	0.051602557943781324
	168	   K1	    2	     1		 ---> 	 L3L3	    3	     1		7.0487654E+03     	3.2211126E+13  	0.13321451324998568
	169	   K1	    2	     1		 ---> 	 L3L3	    5	     1		7.0489600E+03     	4.4757646E+13  	0.1851027507112036
	170	   K1	    2	     1		 ---> 	 L1M1	    1	     2		7.7281328E+03     	2.3565365E+13  	0.09745851877494903
	171	   K1	    2	     1		 ---> 	 L1M1	    1	     1		7.7291767E+03     	3.9531459E+09  	1.6348897796204845e-05
	172	   K1	    2	     1		 ---> 	 L1M1	    3	     1		7.7293732E+03     	1.1116021E+11  	0.0004597216895775761
	173	   K1	    2	     1		 ---> 	 L1M2	    3	     3		7.7724006E+03     	1.4118597E+13  	0.058389825525742504
	174	   K1	    2	     1		 ---> 	 L1M2	    1	     3		7.7724671E+03     	3.8405357E+12  	0.015883179429824746
	175	   K1	    2	     1		 ---> 	 L1M2	    1	     2		7.7732929E+03     	4.2927878E+12  	0.017753543830242906
	176	   K1	    2	     1		 ---> 	 L1M3	    1	     1		7.7749798E+03     	4.8547781E+12  	0.020077748959418256
	177	   K1	    2	     1		 ---> 	 L1M3	    3	     2		7.7752655E+03     	4.9354328E+12  	0.020411309996738826
	178	   K1	    2	     1		 ---> 	 L1M3	    3	     1		7.7756495E+03     	6.0367454E+12  	0.024965972939756595
	179	   K1	    2	     1		 ---> 	 L1M3	    5	     1		7.7762992E+03     	4.0546336E+12  	0.016768617198636183
	180	   K1	    2	     1		 ---> 	 L1M5	    5	     3		7.8515446E+03     	6.8896756E+10  	0.00028493408814839416
	181	   K1	    2	     1		 ---> 	 L1M5	    3	     3		7.8515637E+03     	3.7128757E+10  	0.00015355220091753385
	182	   K1	    2	     1		 ---> 	 L1M4	    3	     2		7.8535397E+03     	7.5672517E+10  	0.0003129563840319108
	183	   K1	    2	     1		 ---> 	 L1M5	    5	     2		7.8537869E+03     	9.3194579E+10  	0.00038542180981261995
	184	   K1	    2	     1		 ---> 	 L1M4	    1	     1		7.8540250E+03     	1.4780695E+11  	0.0006112804283592871
	185	   K1	    2	     1		 ---> 	 L1M4	    3	     1		7.8541122E+03     	2.7988479E+11  	0.0011575104846047438
	186	   K1	    2	     1		 ---> 	 L1M5	    5	     1		7.8542367E+03     	3.9674578E+11  	0.0016408087058703228
	187	   K1	    2	     1		 ---> 	 L1M5	    7	     1		7.8543804E+03     	5.1214992E+11  	0.002118081879652984
	188	   K1	    2	     1		 ---> 	 L1N1	    1	     1		7.8632927E+03     	7.6187488E+11  	0.0031508613296098763
	189	   K1	    2	     1		 ---> 	 L2M1	    1	     3		7.8732649E+03     	1.9753578E+12  	0.008169423441501627
	190	   K1	    2	     1		 ---> 	 L2M1	    3	     3		7.8734433E+03     	8.7702893E+12  	0.03627100214258445
	191	   K1	    2	     1		 ---> 	 L2M1	    1	     2		7.8743916E+03     	1.4861328E+12  	0.006146151412926028
	192	   K1	    2	     1		 ---> 	 L3M1	    3	     2		7.8926888E+03     	8.5306462E+12  	0.035279917915345155
	193	   K1	    2	     1		 ---> 	 L3M1	    1	     1		7.8927556E+03     	6.1372598E+12  	0.025381667096819417
	194	   K1	    2	     1		 ---> 	 L3M1	    3	     1		7.8943985E+03     	1.0079080E+12  	0.0041683725561399675
	195	   K1	    2	     1		 ---> 	 L3M1	    5	     1		7.8945567E+03     	2.7533795E+12  	0.011387062652978631
	196	   K1	    2	     1		 ---> 	 L2M2	    1	     6		7.9154966E+03     	6.3179398E+12  	0.026128899536132698
	197	   K1	    2	     1		 ---> 	 L2M3	    3	     7		7.9212213E+03     	2.5878822E+13  	0.1070262081559341
	198	   K1	    2	     1		 ---> 	 L2M3	    5	     4		7.9215157E+03     	3.9013432E+13  	0.16134659043249266
	199	   K1	    2	     1		 ---> 	 L2M3	    1	     5		7.9222275E+03     	1.1389114E+10  	4.710159085586134e-05
	200	   K1	    2	     1		 ---> 	 L2M3	    3	     6		7.9225978E+03     	2.5828365E+11  	0.0010681753477099704
	201	   K1	    2	     1		 ---> 	 L2M2	    3	     4		7.9230776E+03     	3.5136468E+10  	0.0001453127556591377
	202	   K1	    2	     1		 ---> 	 L2M2	    3	     5		7.9230942E+03     	2.7059353E+11  	0.0011190849207676067
	203	   K1	    2	     1		 ---> 	 L2M2	    1	     4		7.9232645E+03     	2.2483449E+10  	9.298407372396349e-05
