"8025.87	","	1.51415"
"8025.88	","	1.50675"
"8025.89	","	1.50192"
"8025.9	","	1.53418"
"8025.91	","	1.49224"
"8025.92	","	1.54595"
"8025.93	","	1.55304"
"8025.94	","	1.57386"
"8025.95	","	1.56449"
"8025.96	","	1.58541"
"8025.97	","	1.56275"
"8025.98	","	1.57481"
"8025.99	","	1.60618"
"8026	","	1.61154"
"8026.01	","	1.58282"
"8026.02	","	1.60021"
"8026.03	","	1.59966"
"8026.04	","	1.60258"
"8026.05	","	1.62071"
"8026.06	","	1.66606"
"8026.07	","	1.66584"
"8026.08	","	1.64155"
"8026.09	","	1.66746"
"8026.1	","	1.6782"
"8026.11	","	1.67568"
"8026.12	","	1.69182"
"8026.13	","	1.70663"
"8026.14	","	1.69524"
"8026.15	","	1.73701"
"8026.16	","	1.71932"
"8026.17	","	1.73666"
"8026.18	","	1.75888"
"8026.19	","	1.75568"
"8026.2	","	1.76544"
"8026.21	","	1.79335"
"8026.22	","	1.82117"
"8026.23	","	1.76653"
"8026.24	","	1.79534"
"8026.25	","	1.82314"
"8026.26	","	1.82274"
"8026.27	","	1.82078"
"8026.28	","	1.83106"
"8026.29	","	1.82307"
"8026.3	","	1.85558"
"8026.31	","	1.84249"
"8026.32	","	1.90221"
"8026.33	","	1.87123"
"8026.34	","	1.91539"
"8026.35	","	1.89121"
"8026.36	","	1.88682"
"8026.37	","	1.93195"
"8026.38	","	1.97231"
"8026.39	","	1.92235"
"8026.4	","	1.96268"
"8026.41	","	1.95703"
"8026.42	","	1.96558"
"8026.43	","	1.96905"
"8026.44	","	1.98487"
"8026.45	","	1.96883"
"8026.46	","	2.0076"
"8026.47	","	1.99709"
"8026.48	","	2.01275"
"8026.49	","	1.99401"
"8026.5	","	2.05877"
"8026.51	","	2.04001"
"8026.52	","	2.0684"
"8026.53	","	2.0473"
"8026.54	","	2.09173"
"8026.55	","	2.0667"
"8026.56	","	2.1001"
"8026.57	","	2.11486"
"8026.58	","	2.12435"
"8026.59	","	2.11422"
"8026.6	","	2.15695"
"8026.61	","	2.15018"
"8026.62	","	2.12174"
"8026.63	","	2.12318"
"8026.64	","	2.17945"
"8026.65	","	2.16949"
"8026.66	","	2.16872"
"8026.67	","	2.19805"
"8026.68	","	2.22063"
"8026.69	","	2.2119"
