# Atomic number Z= 29  Date:10-1-2023

# Number	Shelli	2Ji	Eigi	Total Energy (eV)	Ground Energy(eV)	Partial Width (eV)
	147		K1L34p	 6	 5		-34104.04275		10857.8406          1.879836055798083
	148		K1L34p	 8	 1		-34960.45210		10001.43125         2.4453554251141303
	149		K1L14p	 0	 1		-34811.50893		10150.37442         4.6096940244798095
	150		K1L14p	 0	 2		-35653.23022		9308.65313          4.065713718817998
	151		K1L14p	 0	 3		-39428.61788		5533.26547          111.75694082828913
	152		K1L14p	 2	 1		-34811.74739		10150.13596         4.466390263273632
	153		K1L14p	 2	 2		-34811.50711		10150.37624         4.348742198326759
	154		K1L14p	 2	 3		-34811.34120		10150.54215         4.4661036491260475
	155		K1L14p	 2	 4		-35653.09474		9308.78861          4.460648173769136
	156		K1L14p	 2	 5		-34778.73922		10183.14413         5.079987048251042
	157		K1L14p	 2	 6		-34774.92779		10186.95556         4.666250623822693
	158		K1L14p	 4	 1		-34811.70732		10150.17603         4.66028747433258
	159		K1L14p	 4	 2		-34811.43609		10150.44726         4.819584407223967
	160		K1L14p	 4	 3		-35653.00420		9308.87915          4.406290297030138
	161		K1L14p	 4	 4		-35744.64234		9217.24101          3.345255724147903
	162		K1L14p	 6	 1		-34811.63362		10150.24973         5.311855048161913
	163		K1M44p	 0	 1		-35964.10436		8997.77899          4.318441694952074
	164		K1M44p	 0	 2		-35963.92472		8997.95863          4.360842468790276
	165		K1M54p	 0	 3		-35963.75770		8998.12565          4.316581675431385
	166		K1M44p	 0	 4		-35960.39245		9001.4909           4.195623861109601
	167		K1M54p	 10	 1		-35964.69119		8997.19216          3.733301931083981
	168		K1M44p	 2	 1		-35964.71542		8997.16793          4.296668157448039
	169		K1M44p	 2	 2		-35964.46182		8997.42153          4.369557199086941
	170		K1M44p	 2	 11		-35960.02165		9001.8617           3.1213323736651497
	171		K1M44p	 2	 3		-35964.08644		8997.79691          4.69405411501302
	172		K1M44p	 2	 4		-35963.95988		8997.92347          4.412808716248791
	173		K1M54p	 2	 5		-35963.80163		8998.08172          4.259685830828357
	174		K1M44p	 2	 6		-35963.76028		8998.12307          4.715856709150434
	175		K1M54p	 2	 7		-35963.64330		8998.24005          4.6728456305736
	176		K1M44p	 2	 8		-35963.60911		8998.27424          4.395402090734857
	177		K1M54p	 2	 9		-35960.72642		9001.15693          3.7087690463693423
	178		K1M44p	 2	 10		-35960.45752		9001.42583          3.3035888165714713
	179		K1M54p	 4	 1		-35964.87483		8997.00852          4.329504040292675
	180		K1M54p	 4	 2		-35964.78697		8997.09638          4.762785377384488
	181		K1M54p	 4	 11		-35960.78504		9001.09831          3.7433005619113664
	182		K1M44p	 4	 12		-35960.42022		9001.46313          3.7309918764503713
	183		K1M54p	 4	 13		-35960.24669		9001.63666          3.493234118014649
	184		K1M44p	 4	 14		-35960.06098		9001.82237          3.6389420558843266
	185		K1M44p	 4	 3		-35964.54492		8997.33843          4.492974908508238
	186		K1M54p	 4	 4		-35964.38193		8997.50142          4.41437637033087
	187		K1M44p	 4	 5		-35964.02044		8997.86291          4.512140296495826
	188		K1M44p	 4	 6		-35963.98832		8997.89503          4.5064587904721725
	189		K1M54p	 4	 7		-35963.87565		8998.0077           4.414429129667773
	190		K1M44p	 4	 8		-35963.76151		8998.12184          4.458199751025901
	191		K1M54p	 4	 9		-35963.67958		8998.20377          4.5431928245787185
	192		K1M44p	 4	 10		-35963.46212		8998.42123          4.776565861175447
	193		K1M54p	 6	 1		-35965.04493		8996.83842          4.366178810243139
	194		K1M54p	 6	 2		-35964.60918		8997.27417          4.3723514438420175
	195		K1M54p	 6	 11		-35960.27089		9001.61246          3.537136547306999
	196		K1M54p	 6	 3		-35964.16384		8997.71951          4.558810383198646
	197		K1M54p	 6	 4		-35964.08177		8997.80158          4.4685574126447465
	198		K1M54p	 6	 5		-35963.62621		8998.25714          5.718249158545831
	199		K1M44p	 6	 6		-35963.96976		8997.91359          4.712229586316433
	200		K1M54p	 6	 7		-35963.76246		8998.12089          4.783559190324176
	201		K1M54p	 6	 8		-35963.60869		8998.27466          5.5229576250679004
	202		K1M54p	 6	 9		-35960.66115		9001.2222           4.10301682767316
	203		K1M44p	 6	 10		-35960.46389		9001.41946          3.192212512369183
	204		K1M54p	 8	 1		-35964.66029		8997.22306          4.224856229184168
	205		K1M54p	 8	 2		-35964.18817		8997.69518          4.625100607805344
	206		K1M54p	 8	 3		-35964.00472		8997.87863          5.761907318570948
	207		K1M44p	 8	 4		-35963.91838		8997.96497          5.50936805727485
	208		K1M54p	 8	 5		-35960.70630		9001.17705          4.888817155406891
	209		K1M34p	 0	 1		-35882.19514		9079.68821          5.695829642310196
	210		K1M34p	 0	 2		-35881.85759		9080.02576          5.742525263312515
	211		K1M24p	 0	 3		-35880.20538		9081.67797          4.041602023178004
	212		K1M24p	 0	 4		-35878.96257		9082.92078          3.7175170818092282
	213		K1M34p	 0	 5		-35878.25712		9083.62623          3.494846948336252
	214		K1M24p	 0	 6		-35875.44756		9086.43579          3.1146762045647645
	215		K1M34p	 2	 1		-35883.17084		9078.71251          4.254639764674829
	216		K1M34p	 2	 2		-35882.60719		9079.27616          3.9540215085261567
	217		K1M34p	 2	 11		-35878.25711		9083.62624          2.8938488860368436
	218		K1M24p	 2	 12		-35876.34920		9085.53415          3.97126576346916
	219		K1M24p	 2	 13		-35875.26916		9086.61419          2.819746628571426
	220		K1M34p	 2	 3		-35882.34117		9079.54218          4.034620838446356
	221		K1M34p	 2	 4		-35882.01286		9079.87049          4.191539099560709
	222		K1M34p	 2	 5		-35881.66992		9080.21343          4.620031483284393
	223		K1M24p	 2	 6		-35880.12399		9081.75936          6.751521131030096
	224		K1M24p	 2	 7		-35879.55978		9082.32357          4.471490246265093
	225		K1M24p	 2	 8		-35879.34995		9082.5334           4.176966529693049
	226		K1M24p	 2	 9		-35879.06042		9082.82293          4.367852056145336
	227		K1M34p	 2	 10		-35878.65036		9083.23299          3.7150989990045358
	228		K1M34p	 4	 1		-35883.98460		9077.89875          3.767573961357139
	229		K1M34p	 4	 2		-35883.23692		9078.64643          3.9010545270361145
	230		K1M24p	 4	 11		-35875.44090		9086.44245          3.4649741211256897
	231		K1M34p	 4	 3		-35883.03280		9078.85055          3.7717862574400334
	232		K1M34p	 4	 4		-35882.24523		9079.63812          4.433629312295185
	233		K1M34p	 4	 5		-35882.05885		9079.8245           4.544337742251672
	234		K1M24p	 4	 6		-35880.06547		9081.81788          5.063326174334074
	235		K1M24p	 4	 7		-35879.04599		9082.83736          5.553296196347422
	236		K1M34p	 4	 8		-35878.93373		9082.94962          4.7471699722860325
