Transition register 	 Shell IS 	 IS Configuration 	 IS 2JJ 	 IS eigenvalue 	 IS higher configuration 	 IS percentage 	 Shell FS 	FS Configuration 	 FS 2JJ 	 FS eigenvalue 	 FS higher configuration 	 FS percentage 	 transition energy [eV] 	 intensity 	 intensity [eV] 	 width [eV] 
34 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_4s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)0  	 1 	 1 	 1s2 2s1 3s2 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 7.8633841E+03 	 5.49687e-06 	 0.043224 	 7.94225
35 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2p_3s 	 (1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1  	 1 	 3 	 2p*1 2p4 1s2 2s2 3s1 4s1 3p*2 3p4 3d*4 3d6  	 99.55449 	 7.8733563E+03 	 0.000931821 	 7.33656 	 2.33323
36 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2p_3s 	 (1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1  	 3 	 3 	 2p*1 2p4 1s2 2s2 3s1 4s1 3p*2 3p4 3d*4 3d6  	 99.54786 	 7.8735346E+03 	 0.000311844 	 2.45531 	 2.31768
37 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2p_3s 	 (1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1  	 1 	 2 	 2p*1 2p4 1s2 2s2 3s1 4s1 3p*2 3p4 3d*4 3d6  	 99.99444 	 7.8744830E+03 	 8.07325e-05 	 0.635727 	 2.29724
38 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2p_3s 	 (1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1  	 3 	 2 	 2p*2 2p3 1s2 2s2 3s1 4s1 3p*2 3p4 3d*4 3d6  	 99.56110 	 7.8927802E+03 	 0.00151849 	 11.9851 	 2.35445
39 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2p_3s 	 (1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1  	 1 	 1 	 2p*2 2p3 1s2 2s2 3s1 4s1 3p*2 3p4 3d*4 3d6  	 99.73558 	 7.8928470E+03 	 0.000205348 	 1.62078 	 2.30905
40 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2p_3s 	 (1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1  	 3 	 1 	 2p*2 2p3 1s2 2s2 3s1 4s1 3p*2 3p4 3d*4 3d6  	 99.99795 	 7.8944899E+03 	 0.00028722 	 2.26746 	 2.25668
41 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2p_3s 	 (1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1  	 5 	 1 	 1s2 2s2 3s1 4s1 2p*2 2p3 3p*2 3p4 3d*4 3d6  	 100 	 7.8946481E+03 	 2.97584e-07 	 0.00234932 	 2.26282
42 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2p_3p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1  	 1 	 6 	 2p*1 3p*1 2p4 3p4 1s2 2s2 3s2 4s1 3d*4 3d6  	 96.70419 	 7.9155880E+03 	 0.00068372 	 5.41205 	 2.05376
43 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2p_3p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1  	 3 	 7 	 2p*1 3p*2 2p4 3p3 1s2 2s2 3s2 4s1 3d*4 3d6  	 94.78876 	 7.9213127E+03 	 0.00259359 	 20.5446 	 2.31327
