Transition register 	 Shell IS 	 IS Configuration 	 IS 2JJ 	 IS eigenvalue 	 IS higher configuration 	 IS percentage 	 Shell FS 	FS Configuration 	 FS 2JJ 	 FS eigenvalue 	 FS higher configuration 	 FS percentage 	 transition energy [eV] 	 intensity 	 intensity [eV] 	 width [eV] 
35 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 2 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 1.51678824980E-01 	 2.74541e-23 	 4.16421e-24 	 13.3671
36 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 2 	 2 	 2p*1 2p4 1s2 2s2 3s2 4s1 3p*2 3p4 3d*4 3d6  	 99.99914 	 1.47509972375E+02 	 1.26026e-06 	 0.000185901 	 7.33867
37 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s2 3s2 4s1 2p*1 2p4 3p*2 3p4 3d*4 3d6  	 100 	 0 	 0 	 0 	 7.32194
38 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 2 	 1 	 2p*2 2p3 1s2 2s2 3s2 4s1 3p*2 3p4 3d*4 3d6  	 99.99923 	 1.67536039442E+02 	 3.72332e-06 	 0.00062379 	 7.36669
39 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 4 	 1 	 1s2 2s2 3s2 4s1 2p*2 2p3 3p*2 3p4 3d*4 3d6  	 100 	 1.67618840065E+02 	 7.53964e-14 	 1.26379e-11 	 7.36532
40 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 3s 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s2 3s1 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 0 	 0 	 0 	 9.60753
41 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 3s 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1  	 2 	 1 	 1s2 2s2 3s1 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 9.74543319097E+02 	 1.61396e-12 	 1.57287e-09 	 9.90007
42 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1  	 2 	 2 	 3p*1 3p4 1s2 2s2 3s2 4s1 2p*2 2p4 3d*4 3d6  	 99.39547 	 1.02072966012E+03 	 0.000102013 	 0.104128 	 9.44484
43 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1  	 0 	 1 	 1s2 2s2 3s2 4s1 2p*2 2p4 3p*1 3p4 3d*4 3d6  	 100 	 0 	 0 	 0 	 9.56345
44 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1  	 2 	 1 	 3p*2 3p3 1s2 2s2 3s2 4s1 2p*2 2p4 3d*4 3d6  	 99.52124 	 1.02314248423E+03 	 0.000142571 	 0.14587 	 9.37746
