# Atomic number Z= 29  Date:04-11-2021

# Record	Shelli	  2Ji		  Eigi --->		Shellf	  2Jf			Eigf		   Energy (eV)			 Rate(1/s)			 Width(eV)
	 124	   K1	    0	         1 ---> 	 M3M4	    3	         3	     8.8778711E+03	       2.78051e-08	           1.51732
	 125	   K1	    0	         1 ---> 	 M3M4	    1	         1	     8.8779910E+03	       3.03276e-09	           1.51732
	 126	   K1	    0	         1 ---> 	 M2M4	    5	         3	     8.8805279E+03	       1.00077e-05	           1.51732
	 127	   K1	    0	         1 ---> 	 M2M4	    3	         2	     8.8808269E+03	       2.00046e-08	           1.51732
	 128	   K1	    0	         1 ---> 	 M3M4	    5	         2	     8.8821408E+03	       9.81578e-06	           1.51732
	 129	   K1	    0	         1 ---> 	 M3M4	    7	         2	     8.8823165E+03	          1.18e-05	           1.51732
	 130	   K1	    0	         1 ---> 	 M3M5	    3	         1	     8.8825601E+03	       3.54752e-09	           1.51732
	 131	   K1	    0	         1 ---> 	 M3M4	    5	         1	     8.8826004E+03	       1.42947e-07	           1.51732
	 132	   K1	    0	         1 ---> 	 M3M5	    7	         1	     8.8833150E+03	         9.354e-06	           1.51732
	 133	   K1	    0	         1 ---> 	 M3M5	    9	         1	     8.8837892E+03	        1.3561e-09	           1.51732
	 134	   K1	    0	         1 ---> 	 M2N1	    1	         1	     8.8839063E+03	       1.55537e-08	           1.51732
	 135	   K1	    0	         1 ---> 	 M3N1	    3	         1	     8.8864198E+03	        7.1727e-10	           1.51732
	 136	   K1	    0	         1 ---> 	 M5M5	    1	         3	     8.9472512E+03	       6.99191e-09	           1.51732
	 137	   K1	    0	         1 ---> 	 M4M5	    7	         3	     8.9524762E+03	       1.26803e-06	           1.51732
	 138	   K1	    0	         1 ---> 	 M4M5	    9	         2	     8.9524801E+03	       1.60286e-06	           1.51732
	 139	   K1	    0	         1 ---> 	 M4M5	    1	         2	     8.9526713E+03	       1.12868e-12	           1.51732
	 140	   K1	    0	         1 ---> 	 M4M5	    3	         4	     8.9527620E+03	        5.6005e-10	           1.51732
	 141	   K1	    0	         1 ---> 	 M4M4	    1	         1	     8.9534643E+03	       2.74777e-11	           1.51732
